X,Y,OBJECTID,currentValueTime,currentValue,Name
-284252.393763688,6697912.39153731,5459,2016/09/05 17:00:00+01,0.106,Brislington
-284399.352004795,6701468.19484754,5460,2015/03/26 04:15:00+00,0.43,Netham Weir
-292299.699288219,6699323.02851977,5461,2015/04/02 13:15:00+01,0.956,Ashton Vale
-287945.67407325,6702017.94952149,5462,2016/03/25 16:00:00+00,0.163,Bristol Harbour Passage Street
-284252.393763688,6697912.39153731,5463,2016/04/09 05:00:00+01,0.131,Brislington
-284252.393763688,6697912.39153731,5464,2015/04/15 07:30:00+01,0.088,Brislington
-292299.699288219,6699323.02851977,5465,2016/04/11 05:00:00+01,0.958,Ashton Vale
-292299.699288219,6699323.02851977,5466,2016/04/11 22:15:00+01,0.995,Ashton Vale
-287945.67407325,6702017.94952149,5467,2017/03/27 08:30:00+01,0.100000000000001,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,5468,2017/04/05 05:00:00+01,7.608,Eastville
-284399.352004795,6701468.19484754,5469,2017/04/08 05:00:00+01,0.437,Netham Weir
-285656.259471231,6704915.77537443,5470,2017/04/10 17:00:00+01,7.59,Eastville
-285656.259471231,6704915.77537443,5471,2017/04/13 17:00:00+01,7.586,Eastville
-292299.699288219,6699323.02851977,5472,2017/04/14 22:45:00+01,0.948,Ashton Vale
-285656.259471231,6704915.77537443,5473,2017/04/15 05:00:00+01,7.582,Eastville
-287945.67407325,6702017.94952149,5474,2016/01/19 07:30:00+00,0.21,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,5475,2016/07/18 05:00:00+01,0.359,Eastville
-284399.352004795,6701468.19484754,5476,2016/07/20 17:00:00+01,0.385,Netham Weir
-292299.699288219,6699323.02851977,5477,2016/07/23 05:00:00+01,0.938,Ashton Vale
-292299.699288219,6699323.02851977,5478,2016/01/28 04:00:00+00,0.987,Ashton Vale
-293204.769686181,6697303.4512554,5479,2016/01/29 04:00:00+00,0.23,Colliters Brook
-284399.352004795,6701468.19484754,5480,2016/01/30 07:45:00+00,0.603,Netham Weir
-284399.352004795,6701468.19484754,5481,2016/07/26 05:00:00+01,0.416,Netham Weir
-293204.769686181,6697303.4512554,5482,2016/07/27 05:00:00+01,0.003,Colliters Brook
-287945.67407325,6702017.94952149,5483,2016/02/06 04:00:00+00,0.198,Bristol Harbour Passage Street
-284399.352004795,6701468.19484754,5484,2016/02/06 04:00:00+00,0.535,Netham Weir
-284252.393763688,6697912.39153731,5485,2016/07/28 05:00:00+01,0.068,Brislington
