X,Y,OBJECTID,currentValueTime,currentValue,Name
-293204.769686181,6697303.4512554,5684,2016/06/30 05:00:00+01,0.04,Colliters Brook
-284399.352004795,6701468.19484754,5685,2016/10/02 05:00:00+01,0.422,Netham Weir
-292299.699288219,6699323.02851977,5686,2015/12/15 04:00:00+00,0.97,Ashton Vale
-292299.699288219,6699323.02851977,5687,2015/12/19 04:00:00+00,0.968,Ashton Vale
-292299.699288219,6699323.02851977,5688,2016/07/05 17:00:00+01,0.928,Ashton Vale
-284399.352004795,6701468.19484754,5689,2015/12/22 04:00:00+00,0.537,Netham Weir
-293204.769686181,6697303.4512554,5690,2015/09/22 05:15:00+01,0.305,Colliters Brook
-292299.699288219,6699323.02851977,5691,2015/09/22 05:15:00+01,1.001,Ashton Vale
-293204.769686181,6697303.4512554,5692,2016/08/29 10:00:00+01,-0.006,Colliters Brook
-293204.769686181,6697303.4512554,5693,2015/10/06 10:15:00+01,0.018,Colliters Brook
-292299.699288219,6699323.02851977,5694,2015/10/22 11:15:00+01,0.94,Ashton Vale
-293204.769686181,6697303.4512554,5695,2015/10/26 09:15:00+00,0.009,Colliters Brook
-293204.769686181,6697303.4512554,5696,2016/06/20 17:00:00+01,0.058,Colliters Brook
-285656.259471231,6704915.77537443,5697,2015/12/23 04:00:00+00,0.476,Eastville
-285656.259471231,6704915.77537443,5698,2016/07/06 17:00:00+01,0.391999999999999,Eastville
-284399.352004795,6701468.19484754,5699,2016/10/04 17:00:00+01,0.382,Netham Weir
-285656.259471231,6704915.77537443,5700,2016/07/07 11:15:00+01,0.385,Eastville
-285656.259471231,6704915.77537443,5701,2016/07/08 05:00:00+01,0.381,Eastville
-287945.67407325,6702017.94952149,5702,2016/09/10 17:00:00+01,0.106,Bristol Harbour Passage Street
-284399.352004795,6701468.19484754,5703,2016/09/11 05:00:00+01,0.451,Netham Weir
-293204.769686181,6697303.4512554,5704,2016/09/11 17:00:00+01,0.006,Colliters Brook
-285656.259471231,6704915.77537443,5705,2016/01/02 04:00:00+00,0.455,Eastville
-284252.393763688,6697912.39153731,5706,2016/01/04 09:30:00+00,0.203,Brislington
-292299.699288219,6699323.02851977,5707,2016/10/12 05:00:00+01,0.945,Ashton Vale
-293204.769686181,6697303.4512554,5708,2016/07/14 17:00:00+01,0.009,Colliters Brook
-284252.393763688,6697912.39153731,5709,2016/09/13 17:00:00+01,0.113,Brislington
-284252.393763688,6697912.39153731,5710,2016/01/07 05:00:00+00,0.209,Brislington
-292299.699288219,6699323.02851977,5711,2016/01/11 04:00:00+00,0.995,Ashton Vale
