X,Y,FID,datetime,siteid,tc_cfu,ec_cfu,tc_mpn,ec_mpn,p_ecc_cfu,fs_cfu,temp,ph,cond,do,dopc,phosphate_,salinity,clost_perf,ammonium_n,turb,ammonium_1,nitrite,nitrate,fcoliforms,bod,cod,sussolids,id,sitename,river,total_coli,total_ecol
-289186.4951,6701627.563,8455,2020/02/20 09:35:00+00,d4,8160,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10971,St Augustines Reach,Floating Harbour,8160,2880
-289036.1314,6701008.409,8456,2020/02/20 09:30:00+00,d5,13700,4370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10972,Prince Street Bridge,Floating Harbour,13700,4370
-289036.1314,6701008.409,8457,2020/02/25 10:53:00+00,d5,7760,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10976,Prince Street Bridge,Floating Harbour,7760,3010
-289186.4951,6701627.563,8458,2020/07/07 10:07:00+01,d4,280,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11012,St Augustines Reach,Floating Harbour,280,100
-289036.1314,6701008.409,8459,2020/07/21 11:32:00+01,d5,1100,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11024,Prince Street Bridge,Floating Harbour,1100,300
-284389.19,6701650.563,8460,2020/07/21 12:04:00+01,d99,900,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11025,Netham Lock,Feeder Canal,900,330
-284389.19,6701650.563,8461,2020/07/21 12:04:17+01,d99,0,0,0,0,0,0,18.6,7.73,727,6.91,0,0,0.36,0,0,0,0,0,0,0,0,0,0,11037,Netham Lock,Feeder Canal,0,0
-288457.3322,6701943.483,8462,2020/07/21 11:00:00+01,d9,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0.3,0,0.230769231,0,0,0,0,0,0,11052,Bristol Bridge,Floating Harbour,0,0
-291293.9654,6700743.108,8463,2020/09/01 11:23:00+01,d1,510,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11069,Baltic Wharf,Floating Harbour,510,300
-290295.4778,6701170.247,8464,2020/09/01 11:36:00+01,d2,560,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11075,S.S. Great Britain,Floating Harbour,560,100
-291720.9616,6700950.118,8465,2020/09/01 11:28:00+01,d13,470,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11077,Cumberland Basin (centre),Floating Harbour,470,100
-289186.4951,6701627.563,8466,2020/09/01 11:46:00+01,d4,0,0,0,0,0,0,16.3,7.34,780,6.06,0,0,0.38,0,0,0,0,0,0,0,0,0,0,11081,St Augustines Reach,Floating Harbour,0,0
-289036.1314,6701008.409,8467,2020/10/06 10:22:00+01,d5,21400,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11112,Prince Street Bridge,Floating Harbour,21400,4200
-288089.3701,6702158.398,8468,2020/10/13 11:28:00+01,d32,6970,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11120,Castle tunnel,Floating Harbour,6970,1730
